Agency,AwardDescription,Length,,,,
Interrior,UTILITY SERVICES,16,,,,
Interrior,FEDERAL EXPRESS DOMESTIC MAIL DELIVERY SERVICE FOR ALASKA REGION,64,,,,
Interrior,CA-DON EDWARDS SF BAY NWR DESIGN ALVISO,39,,,,
Interrior,"MODIFICATION DUE TO ASSEMBLY PLANT CLOSURE RELATED TO COVID19, POLARIS RANGER UTV - HOBE SOUND NWR, FL",102,,,,
Interrior,MOD 4 YEAR 2 ADDITIONAL SERVICES - CASE SUPPORT 2019-21-HUDSON RIVER NRDAR,74,,,,
Interrior,ADDITIONAL 2020 SEED INSPECTIONS,32,,,,
Interrior,SPLUNK,6,,,,
Interrior,WA-CRWFCO-FISH MARKING_ETSUS-2020-01,36,,,,
Interrior,OSM REPLACEMENT COPIERS,23,,,,
Interrior,"TO 158 TECHNICAL SUPPORT SERVICES CONTRACT FOR THE EARTH RESOURCES OBSERVATION AND SCIENCE CENTER (EROS), U.S. GEOLOGICAL SURVEY LOCATED IN SIOUX FALLS, SOUTH DAKOTA, LAND PROCESSES DISTRIBUTED ACTIVE ARCHIVE CENTER",215,,,,
Interrior,RPN 0070012604 DCS083 SOLARWINDS MAINTENANCE AND SUPPORT,56,,,,
Interrior,GEOSPATIAL PRODUCTS AND SERVICES CONTRACT V3 (GPSC3) UT_FEMA_FSFLAMINGGORGE_2020_B20 - ADD FUNDS TO ALLOW FOR UTILIZE AN ON GROUND BEAM DIAMETER,144,,,,
Interrior,WY_SOUTHCENTRAL_2020_D20 WOOLPERT GEOSPATIAL PRODUCTS AND SERVICES CONTRACT V3 (GPSC3) A&E INDEFINITE DELIVERY-INDEFINITE QUANTITY CONTRACT,139,,,,
Interrior,"A&E SERVICES, TIB CHIILER REPLACEMENT",37,,,,
Interrior,FACILITY SUPPORT SERVICES - OPTION,34,,,,
Interrior,WETLAND MAPPING FOR THE BUREAU OF LAND MANAGEMENT NEW MEXICO,60,,,,
Interrior,NATIONAL VACCINE CONTRACT DELIVERY ORDER FOR VACCINES,53,,,,
Interrior,INFORMATION TECHNOLOGY SUPPORT SERVICES (ITSS 1) INFORM DME AND O&M,67,,,,
Interrior,GJFO WILDLIFE ROAD CLOSURES NEAR CO-139,39,,,,
Interrior,FY20-21 RAWS FEDEX SHIPPING CHARGES,35,,,,
Interrior,BLM-CO-NWD - WHITE RIVER FO - GEHL COMPACT TRACK LOADER WITH ACCESSORIES,72,,,,
Interrior,HFC WE DESIGN BUILD IDIQ OPTION YEAR 4 - MINIMUM GUARANTEE,58,,,,
Interrior,HFC WE DESIGN BUILD IDIQ OPTION YEAR 4 - MODIFICATION NUMBER P00001 - DEOBLIGATE AND CLOSE OUT,94,,,,
Interrior,"REHABILITATE THE CASTOLON WATER SYSTEM AT BIG BEND NATIONAL PARK.  PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE TO NOVEMBER 13, 2020, PER THE REVISED SCHEDULE BELOW:      100% DRAFT CDS-TO BE RECEIVED ON AUGUST 14, 2020  N",245,,,,
Interrior,RE-STUCCO LAS IMAGENES VC - PETR MODIFICATION P00001  THIS MODIFICATION IS BEING EXECUTED IN ORDER TO INCORPORATE REQUIRED UPGRADES AND IMPROVEMENTS TO THE ORIGINAL TASK ORDER PROJECT.  ALL CHANGES HAVE BEEN DETERMINED TO BE INTEGRAL TO THE WORK O,247,,,,
Interrior,CAVE REPLACE AND REPAIR THREE HVAC SYSTEMS,42,,,,
Interrior,INTERMOUNTAIN REGIONAL OFFICE - FY20 IT CONSOLIDATED BUY #43 CAD LAPTOPS WITH DOCKING STATION,93,,,,
Interrior,SUPPLY AND DELIVER ONE ALL TERRAIN TELESCOPIC FORKLIFT TO VALLES CALDERA NATIONAL PRESERVE.,91,,,,
Interrior,"DEOBLIGATE AND CANCEL MINIMUM GUARANTEE FOR RIVER LOGISTICS IDIQ, GRAND CANYON NATIONAL PARK",92,,,,
Interrior,"YELLOWSTONE NP (YELL) REQUIRES THE DESIGN, PLANNING, PRODUCTION AND INSTALL OF EXHIBITS AT FISHING BRIDGE MUSEUM AND VISITOR CENTER. POINT OF CONTACT AT THE PARK IS BIANCA KLEIN, BIANCA_KLEIN@NPS.GOV, 307-344-2037 COR IS RANDY FROELICH, RANDY_FROEL",248,,,,
Interrior,"TUMACACORI NATIONAL HISTORICAL PARK (TUMA) REQUIRES THE PAINTING OF MULTIPLE BUILDINGS, EXTERIOR.   LOCATION:  NPS, TUMACACORI NHP 1891 E FRONTAGE RD. TUMACACORI AZ 85640",170,,,,
Interrior,"FRST 240745 - REHABILITATION OF THE HISTORIC SHERIFF'S HOUSE, FIRST STATE NATIONAL HISTORIC PARK, DELAWARE - EXHIBIT PLANNING AND DESIGN SERVICES.  MODIFICATION NO. P00002 TO ADD SCHOLARLY REVIEW.",196,,,,
Interrior,FRSP 287611 - SAFETY STUDY FOR LEE DRIVE - MODIFICATION P00004 TO CORRECT ACCOUNTING CLASSIFICATION.,100,,,,
Interrior,SAJH 152762 ARCHEOLOGICAL MONITORING MOD 2 EXTEND POP AT NO COST DUE TO DELAYS IN GROUND BREAKING TASKS.,104,,,,
Interrior,NR-IMD-053-ANALYTICAL LAB CONTRACT  WATER QUALITY ANALYSIS - GREATER YELLOWSTONE NETWORK,88,,,,
Interrior,HIGH LEVEL RULEMAKING ECONOMIC ANALYSIS TASK ORDER,50,,,,
Interrior,NR-ARD - GPMP NETWORK OPERATIONS,32,,,,
Interrior,ROCK CREEK PARK PEIRCE MILL COMFORT STATION MODIFICATION 2 IS FOR A NO COST TIME EXTENSION,90,,,,
Interrior,ROCK CREEK PARK - CONSTRUCTION TO IMPROVE AND FORMALIZE FORT TOTTEN TRAIL PMIS 226805 MOD 1 IS TO ADD TEMPORARY FENCING AND EXTEND POP,134,,,,
Interrior,"MONO - REPLACE TWO WINDOWS, MINOR PORCH REPAIRS INCLUDING PLASTER REPAIRS, RAKE, FACIA, PORCH, AND SIDING ENCAPSULATION PAINTING, AND PREP AND PAINTING IN KIND WITH REST OF WOOD TRIM ON HOUSE.",192,,,,
Interrior,REMOVE AND REPLACE TURF AND BORDER AT PINE GROVE PLAYGROUND. NEW TURF MATERIAL WILL BE A SUSTAINABLE RUBBERIZED MATERIAL.,121,,,,
Interrior,"SUPPLIES, 2020 PURCHASE OF COMPUTERS AND MONITORS FOR NPS, CHATTAHOOCHEE RIVER NRA",82,,,,
Interrior,GRSM VISTA AMMO FLETC CONTRACT HSFLGL-16-D-00001 AUTHORIZATION HSFLGL20VISTA01-589;,83,,,,
Interrior,"SERVICE, PHASE I ENVIRONMENTAL SITE ASSESSMENT, MWRO",52,,,,
Interrior,"SOLARWINDS ANNUAL LICENSE RENEWAL, MWRO",39,,,,
Interrior,"TITLE II DESIGN DEVELOPMENT SERVICES:  INSTALL ASPHALTIC CONCRETE PAVEMENT ON MICROBEACH LOOP ROAD, AMERICAN MEMORIAL PARK, SAIPAN",130,,,,
Interrior,PUHO - LIDAR HARDWARE_SOFTWARE MAINT,36,,,,
Interrior,UCBN 2020 COMPUTER ORDER,24,,,,
Interrior,"TITLE II DESIGN SERVICES-CONSTRUCTION DOCUMENTS, PHASE 2-CHALET ELECTRICAL UPGRADES, OREGON CAVES NATIONAL MONUMENT AND PRESERVE",128,,,,
Interrior,X:NOGRN - P00001 CORRECTION TO PAYMENT TERMS,44,,,,
Interrior,SAMO VIS CAMERA,15,,,,
Interrior,DOI ENTERPRISE CASE MANAGEMENT SERVICES (SAAS),46,,,,
Interrior,INFORMATION TECHNOLOGY INFRASTRUCTURE SUPPORT SERVICES,54,,,,
Interrior,EVALUATION OF THE MANDELA WASHINGTON FELLOWSHIP FOR YOUNG AFRICAN LEADERS.,74,,,,
Interrior,E-LEARNING COURSE,17,,,,
Interrior,CT/P AND CTR/EX MANAGEMENT AND EVALUATION SUPPORT,49,,,,
Interrior,DEPARTMENT OF THE INTERIOR ENTERPRISE EMERGENCY NOTIFICATION SYSTEM,67,,,,
Interrior,"MOD 3: ADMIN MOD TO CORRECT ALTERNATE PAYEE IDENTIFIER (LIVE OAK BANKING COMPANY) IN PRISM FROM 71396286 TO 71413125 (CAGE 8M1T1). MOD 2: ASSIGNMENT OF CLAIMS TO LIVE OAK BANKING COMPANY, EFFECTIVE WITH JUNE 2020 INVOICE. MOD 1: IS ISSUED AS A BILA",248,,,,
Interrior,"O&M, DEVELOPMENT AND ENHANCEMENT SUPPORT FOR IT SYSTEMS.",56,,,,
Interrior,"RECONFIGURATION FOR DOI, OCIO",29,,,,
Interrior,PROVIDING PRISM FOR FRTIB CUSTOMER,34,,,,
Interrior,DELL COMPELLENT AND QUEST HARDWARE MAINTENANCE RENEWAL,54,,,,
Interrior,"NCI-20-083 ""INSTALL WALL MOUNTED MONITOR 4W CORRIDOR""",53,,,,
Interrior,TABLEAU LICENSE AND SERVICE,27,,,,
Interrior,TOTARA SYSTEMS SUPPORT SERVICES (IBC FEDTALENT) DEOBLIGATION,60,,,,
Interrior,"SPECIMEN COLLECTION, SCHEDULING AND MEDICAL RECORD OFFICER SERVICES.",68,,,,
Interrior,THIS MODIFICATION IS BEING ISSUED TO EXTEND THE PERIOD OF PERFORMANCE FROM 08/04/2020 TO 09/11/2020,99,,,,
Interrior,HRD-20-046 PEMBROOKE 4/01/20 - 6/30/20 DEOB,43,,,,
Interrior,CWN (USDA-FS) HELICOPTER FLIGHT SERVICE IN SUPPORT OF THE DOI FIRE SUPPRESSION MISSION,86,,,,
Interrior,HELICOPTER FLIGHT SERVICES IN SUPPORT OF BLM WH&B/ACETA EL AERO,63,,,,
Interrior,SINGLE ENGINE AIR TANKER FLIGHT SUPPORT FOR L-48 ON-CALL,56,,,,
Interrior,ON-CALL SEAT FLIGHT SERVICES,28,,,,
Interrior,HELICOPTER FLIGHT SERVICES IN SUPPORT OF BLM WH&B/ACETA,55,,,,
Interrior,"HELICOPTER FLIGHT SERVICES IN SUPPORT OF BLM WH&B/ACETA, REEDER FLYING",70,,,,
Interrior,"COPIER/PRINTER LEASE INCLUDES THE UNIT, MAINTENANCE, REPAIR AND REPLENISHABLES",78,,,,
Interrior,"HELICOPTER FLIGHT SERVICES IN SUPPORT OF DOI ALASKA/HI USING SMALL, MEDIUM TURBINE OR RECIPROCATING AIRCRAFT",108,,,,
Interrior,"HELICOPTER FLIGHT SERVICES IN SUPPORT OF DOI ALASKA/HI USING SMALL, MEDIUM TURBINE OR RECIPROCATING AIRCRAFT",108,,,,
Interrior,"HELICOPTER FLIGHT SERVICES IN SUPPORT OF DOI ALASKA/HI USING SMALL, MEDIUM TURBINE OR RECIPROCATING AIRCRAFT",108,,,,
Interrior,RESEARCH&RECOMMENDATION TRACKING (RRT),38,,,,
Interrior,WA-OLYMPIA FHC-TASK ORDER VET LAB SVS,37,,,,
Interrior,"TITLE: MARMES BUILDING GENERATOR #2 AND TRANSFORMER T1 REPLACEMENT, STARBUCK, WA (COLUMBIA COUNTY MOD 1 FUNDS COP #2 AND EXTENDS POP",132,,,,
Interrior,OR-R9 DIV OF LANDS-TURNBULL NWR TRACT 303 BOUNDARY SURVEY AND POSTING,69,,,,
Interrior,ADDITIONAL SEED INSPECTIONS,27,,,,
Interrior,VA- FWS IA- 2-IN-1 LAPTOPS FOR AIA DIC,38,,,,
Interrior,BACKHOE,7,,,,
Interrior,TEWAUKON NWR EXHIBITS FOR NEW OFFICE,36,,,,
Interrior,MRS INTERPRETIVE PANELS,23,,,,
Interrior,MT-BOZEMAN FISH TECH CNTR-PROTEIN ANALYZ,40,,,,
Interrior,REALTY RECORDS DIGITIZATION,27,,,,
Interrior,NE-VALENTINE NWR-INTERPRETIVE PANELS,36,,,,
Interrior,UNIFORM WORK ORDER 2019,23,,,,
Interrior,FY19 RLE NEW HIRE UNIFORMS,26,,,,
Interrior,SCIENTIST I,11,,,,
Interrior,SUBJECT MATTER EXPERT II,24,,,,
Interrior,WRITER EDITOR V,15,,,,
Interrior,DATABASE SPECIALIST II,22,,,,
Interrior,SCIENCE TECHNICIAN I,20,,,,
Interrior,SCIENCE TECH I,14,,,,
Interrior,GIS SPECIALIST III AND IV,25,,,,
Interrior,GIS SPECIALIST III,18,,,,
Interrior,NSA GENERAL BIOLOGIST I,23,,,,
Interrior,SCIENTIST I,11,,,,
Interrior,SCIENCE TECH I,14,,,,
Interrior,SCIENCE AND TECHNICAL SUPPORT SERVICES IDIQ CONTRACT - NORTHEAST SERVICING AREA,79,,,,
Interrior,RPN#0070022010 DCS071 FORTIFY SECURITY SOFTWARE MAINTENANCE,59,,,,
Interrior,FY20 REQ# 13411 AGAINST 140G0120D0010,37,,,,
Interrior,SUNA V2 10 MM PATH LENGTH W/ INTEGRATED,39,,,,
Interrior,"AK_HYDROFROMIFSAR_PILOT_AREA2_2019_D19  DEWBERRY ENGINEERS, INC GEOSPATIAL PRODUCTS AND SERVICES CONTRACT V3 (GPSC3) A&E INDEFINITE DELIVERY-INDEFINITE QUANTITY CONTRACT",169,,,,
Interrior,AGILENT 4200 TAPESTATION,24,,,,
Interrior,"LABORATORY AUDITING SERVICES, EM MA LAB EXTERNAL AUDITS",55,,,,
Interrior,"LABORATORY AUDITING SERVICES, EM MA LAB EXTERNAL AUDITS",55,,,,
Interrior,"SCSN CORE FIREWALLS, 40492462",29,,,,
Interrior,"MODULAR FURNITURE REDESIGN, DISMANTLE AND MOVE TO NEW OFFICE",60,,,,
Interrior,STATE&TRANSITION (ST-SIM) SOFTWARE,34,,,,
Interrior,IDAHO WETLAND MAPPING FOR THE BUREAU OF LAND MANAGEMENT,55,,,,
Interrior,WYOMING WETLAND MAPPING FY20,28,,,,
Interrior,PERIMETER SOLUTIONS 07/01/ - 07/15  2020,40,,,,
Interrior,DOUGLAS CANYON CULTURAL INVENTORY,33,,,,
Interrior,RETARDANT #INV14-732532,23,,,,
Interrior,"COOS BAY DISTRICT, STAND EXAM IDIQ, MINIMUM GUARANTEE - CORRECT POP END DATE ADD SAP OFFICIAL",93,,,,
Interrior,TFAB FY 20 RET 01 PAYMENT,25,,,,
Interrior,BLM-CO-SWD GRAND JUNCTION FO BACKHOE LOADER,43,,,,
Interrior,DOUBLE VAULT TOILETS RFO,24,,,,
Interrior,WY HPD FIRE RETARDANT ORDER,27,,,,
Interrior,WY HPD/WBD FIRE RETARDANT ORDER,31,,,,
Interrior,"PURCHASE AND DELIVER ONE COMPACT UTILILTY TRACTOR, TO CARLSBAD CAVERNS NATIONAL PARK",84,,,,
Interrior,INTERMOUNTAIN REGIONAL OFFICE - FY20 IT ARUBA CONSOLIDATED BUY #40,66,,,,
Interrior,INTERMOUNTAIN REGIONAL OFFICE - FY20 IT CONSOLIDATED BUY #39 (IPADS/GALAXY),75,,,,
Interrior,HAZARDOUS TREE MITIGATION IDIQ TASK ORDER FOR DINOSAUR NATIONAL MONUMENT.,73,,,,
Interrior,IPADS FOR GRAND TETON NATIONAL PARK,35,,,,
Interrior,"MINIMUM GUARANTEE TASK ORDER FOR IDIQ 140P1420D0010, SUBJECT HAWKINS WATER TREATMENT CHEMICALS FOR YELLOWSTONE NATIONAL PARK.",125,,,,
Interrior,"DEOBLIGATE AND CANCEL MINIMUM GUARANTEE FOR RIVER LOGISTICS IDIQ, GRAND CANYON NATIONAL PARK",92,,,,
Interrior,"CORRECT AND EXTEND THE PERIOD OF PERFORMANCE OF THE TASK ORDER, GRAND CANYON NATIONAL PARK",90,,,,
Interrior,REQUIREMENT FOR SERVER FOR CURE,31,,,,
Interrior,"CAHA 213068 - REPAIR CAPE HATTERAS LIGHTHOUSE, MODIFICATION P00003 FOR ADDITIONAL EXTERIOR RESTORATION DESIGN SERVICES AND A TIME EXTENSION.",140,,,,
Interrior,JELA 251674 SHORELINE PROTECTION AT JEAN LAFITTE NATIONAL HISTORICAL PARK AND PRESERVE - MARINE REMOTE SENSING SERVICES,119,,,,
Interrior,GOGA001 LOGICAL FOLLOW-ON TASK ORDER,36,,,,
Interrior,"X:NOGRN, SOD AND REGRADE NORTH GROUNDS AT WHHO. MODIFY TO DEOBLIGATE UDO.",73,,,,
Interrior,NCR-NAMA: LNDSCPE MAINT MALL 3RD TO 14TH - MODIFICATION 1 TO ADD ADDITIONAL IN SCOPE TURF MAINTENANCE SERVICES.,111,,,,
Interrior,GEORGE WASHINGTON MEMORIAL PARKWAY LANDSCAPING.,47,,,,
Interrior,YR. 3 ARCH ID/EVAL MANA NBP,27,,,,
Interrior,ARCH. ID/EVAL OF THE LEWIS PROPERTY,35,,,,
Interrior,PHASE I ARCH. SURVEY BIRCH BLUFF TRAIL,38,,,,
Interrior,ARCH. ID/EVAL OF CCC CAMPS (CHOH),33,,,,
Interrior,"140P4518F0089: FIRE PROTECTION FOR THE OFFICE AND STORAGE BUILDING - STEAMTOWN NATIONAL HISTORIC SITE, SCRANTON, PA",115,,,,
Interrior,CLR AND CLI UPDATES FOR STONE RIVER NATIONAL BATTLEFIELD,56,,,,
Interrior,ADD FUNDS TO PURCHASE FLAIL MOWERS W/ 3 PT HITCH,48,,,,
Interrior,"GUIS BUY TRAINING SIMULATOR R532620010 AND ON-SITE TRAINING (CONUS)  1-DAY INSTRUCTOR COURSE COVERING THE MILO SYSTEM, SOFTWARE AND HARDWARE AT THE END-USERS DESIGNATED LOCATION FOR 6 STUDENTS. MFR PART NO.: MILO-RNG-C MFR PART NO.: MILO-TRNG-MOD-",247,,,,
Interrior,BLRI FY20 COMPUTER REFRESH (ITSP# 55&56),40,,,,
Interrior,"KAWASAKI MULE PRO-FX EPS, CUIS",30,,,,
Interrior,"OFF-SITE ARCHIVAL MEDIA TRANSPORT/STORAGE, MWRO, MODIFICATION P00002 TO EXERCISE OPTION YEAR ONE",96,,,,
Interrior,"X:NOGRN PORTABLE TOILET NEEDS FOR AUGUST 2020, MOUNT RUSHMORE NATIONAL MEMORIAL - COVID-19 RESPONSE",99,,,,
Interrior,"LOWTX, ERADICATION OF INVASIVE PLANTS",37,,,,
Interrior,"COPIER LEASE, MULTIFUNCTION (COPY/PRINT/SCAN/FAX) FOR YOSEMITE NATIONAL PARK.",77,,,,
Interrior,"TITLE I SCOPING AND SURVEY SERVICES TO RESTORE THE FERRY HOUSE, PMIS 258749",75,,,,
Interrior,"THE PURPOSE OF THIS BILATERAL MODIFICATION P00004 IS TO EXTEND THE PERIOD OF PERFORMANCE END DATE FROM JULY 15, 2020 TO AUGUST 14, 2020. THIS MODIFICATION IS NEEDED AS THE A/E IS CONTINUING TO EXPERIENCE UNFORESEEN DELAYS AS A RESULT OF COVID-19 PAND",250,,,,
Interrior,EXTEND POP AT NO COST DUE TO BOTH VENDOR AND GOVERNMENT DELAY,61,,,,
Interrior,CONCONULLY SOD TASKS-MOD 2,26,,,,
Interrior,THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE OPTION YEAR 2,61,,,,
Interrior,AT&T TELEPHONE SERVICE - THE PURPOSE OF MOD P00006 IS TO THE PERIOD OF PERFORMANCE END DATE.,92,,,,
Interrior,COORDINATED OPERATIONS AGREEMENT (COA) REVISION 6-MONTH EXTENSION,65,,,,
Interrior,MEDICAL MONITORING TASK ORDER - ECAO,36,,,,
Interrior,"5501 - LANGHURST, ERNEST",24,,,,
Interrior,NON LIFE-CYCLE FOR TRACY CALLEN-YOUNG,37,,,,
Interrior,CISCO SWITCH HARDWARE REFRESH - MAINTENANCE OPTION YEAR 1,57,,,,
Interrior,"CELLULAR SERVICE FOR BIA, ENA AGENCY. MOD TO ADD LANGUAGE OF ""OPEN MARKET"" FOR THE PURCHASE OF THE 2 (TWO)IPHONES. TO EXTEND THE POP TO SEPTEMBER 30, 2020.",155,,,,
Interrior,MODIFICATION TO ADD FUNDS - VERIZON WIRELESS SERVICE FOR BUREAU OF INDIAN AFFARIS - UMATILLA AGENCY,99,,,,
Interrior,INFORMATION TECHNOLOGY EQUIPMENT,32,,,,
Interrior,LEASE AND MAINTENANCE AGREEMENT FOR PITNEY BOWES MAIL MACHINE,61,,,,
Interrior,ELECTRICITY FOR FMES,20,,,,
Interrior,ITSS 1 WEB SUPPORT SERVICES (WSS),33,,,,
Interrior,XEROX MX4272707 FOR BLM HENRY MOUNTAIN FIELD STATION,52,,,,
Interrior,SECURITY SERVICES WHITE HOUSE VISITOR CENTER EXIT DOOR. MODIFY TO DEOBLIGATE UODS.,82,,,,
Interrior,USPP FY17-GUARD SERVICES. MODIFY TO DEOBLIGATE UDOS.,52,,,,
Interrior,THE PURPOSE OF THIS MODIFICATION IS TO ADD FUNDS AND EXTEND THE PERIOD OF PERFORMANCE.  ADDITIONAL TIME IS NEEDED DUE TO THE SHUTDOWN OF THE PARK BECAUSE OF COVID 19 AND BECAUSE ANOTHER SIGN HAD TO BE ORDERED.  THE SIGN THAT THE PARK HAD ORIGINALLY,248,,,,
Interrior,MAINTENANCE PARALLEL CAPITAL PARTNERS LP,40,,,,
Interrior,BLM CO GJFO ROADS IDR TASK ORDER 1,34,,,,
Interrior,CHAMIZAL NATIONAL MEMORIAL LAW ENFORCEMENT AMMUNITION. THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE PERIOD OF PERFORMANCE DATE IN ORDER TO CLOSEOUT THIS CONTRACT.  THE GOVERNMENT HAS RECEIVED ALL DELIVERABLES FOR THE CONTRACT AND ALL PAYMENTS HA,250,,,,
Interrior,CHAMIZAL NATIONAL MEMORIAL LAW ENFORCEMENT AMMUNITION. THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE PERIOD OF PERFORMANCE DATE IN ORDER TO CLOSEOUT THIS CONTRACT.  THE GOVERNMENT HAS RECEIVED ALL DELIVERABLES FOR THE CONTRACT AND ALL PAYMENTS HA,250,,,,
Interrior,FY20 SHIL-FLEX WING ROTARY MOWER,32,,,,
Interrior,"BUREAU OF OCEAN ENERGY MANAGEMENT WIND AUCTION MANAGEMENT CLOUD SERVICES, SOFTWARE AS A SERVICE",95,,,,
Interrior,"INCIDENT MANAGEMENT, ANALYSIS, AND REPORTING SYSTEM (IMARS) RECORDS MANAGEMENT SYSTEM (RMS) LICENSES AND MAINTENANCE",116,,,,
Interrior,FED RELAY SERVICES,18,,,,
Interrior,NUTANIX SUPPORT AND MAINTENANCE,31,,,,
Interrior,MENTORING TRAINING SUPPORT,26,,,,
Interrior,SOA TASK AREA 5 - WEB APPLICATIONS SERVICES,43,,,,
Interrior,PITNEY BOWES CONNECT PLUS 2000 SERIES 48 MONTH EQUIPMENT AND MAINTENANCE LEASE,78,,,,
Interrior,COPIER LEASE AND MAINTENANCE - EXERCISE OPTION YEAR III,55,,,,
Interrior,LAKE001 CONDITION ASSESSMENT,28,,,,
Interrior,WARRANTY COVERAGE,17,,,,
Interrior,EXHIBIT PLANNING&DESIGN FOR WIND CAVE NATIONAL PARK - MODIFICATION P00003 EXTEND THE TIME FOR COMPLETION,104,,,,
Interrior,"SUPPLY AND DELIVER PROPANE FOR POINT REYES NATIONAL SEASHORE, MARIN COUNTY, CALIFORNIA.  THIS MODIFICATION P00010 DE-OBLIGATES UNUSED FUNDING FROM LINE 40 (OY3).",161,,,,
Interrior,60 MONTH (BASE + 4 OPTION YEARS) COPIER LEASE AND MAINTENANCE FOR PACIFIC WEST REGIONAL OFFICE - SAN FRANCISCO  MODIFICATION P00008 TO EXERCISE OPTION YEAR THREE FOR THE COPIER LEASE/MAINTENANCE.,195,,,,
Interrior,DESIGN/BUILD STRUCTURAL UPGRADE MANYFARMS HS. MOD TO EXTEND THE POP.,68,,,,
Interrior,SOFTWARE DEVELOPMENT SUPPORT SERVICES,37,,,,
Interrior,PURCHASE OF A CANON C7270G AND TONERS EXERCISE OPTION PERIOD 1,62,,,,
Interrior,GRANTS PASS INTERAGENCY COPIERS  UPDATE CONTRACTING OFFICER  DEOBLIGATE AND CLOSE OUT.,86,,,,
Interrior,FY2015 XEROX MAINTENANCE AGREEMENT,34,,,,
Interrior,"YOSEMITE VALLEY GROUP UTILITY BUILDING (FORT YOSEMITE #527) HISTORIC STRUCTURES REPORT, YOSEMITE NATIONAL PARK, MARIPOSA COUNTY, CALIFORNIA. THIS PROJECT PROPOSES TO DEVELOP A HISTORIC STRUCTURE REPORT TO DIRECT FUTURE DEVELOPMENT ON THE YOSEMITE VAL",250,,,,
Interrior,MORR MUSEUM - SERVICE HVAC THIS MODIFICATION IS TO EXERCISE OPTION PERIOD 4 TO SERVICE MORR MUSEUM HVAC.,104,,,,
Interrior,MODIFICATION TO DE-OBLIGATE FUNDS NOT USED FOR OPTION YEAR 2.,61,,,,
Interrior,"KINLICHEE GENERATOR INSTALLATION, KINLICHEE, AZ. MODIFICATION TO EXTEND THE PERIOD OF PERFORMANCE.",98,,,,
Interrior,THOMSON RUETERS CLEAR INVESTIGATOR CONTR MOD 0007: EXERCISE OPTION YEAR THREE(3),80,,,,
Interrior,"MOD #02 FOR DE-OBLIGATION IN THE AMOUNT OF $2,325.90 TO CLOSEOUT CONTRACT.",74,,,,
Interrior,DEPARTMENT OF THE INTERIOR OFFICE OF THE CHIEF INFORMATION OFFICER GEOSPATIAL CLOUD HOSTING SERVICES,100,,,,
Interrior,DEFENSE HEALTH MANAGEMENT SYSTEM ACQUISITION SUPPORT SERVICES,61,,,,
Interrior,DATA EXCHANGE SERVICES (DES) DEVELOPMENT AND IMPLEMENTATION SUPPORT FOR PEO DHSM AND PMO DEFENSE MEDICAL INFORMATION EXCHANGE,125,,,,
Interrior,DARPA/MTO SETA SUPPORT BUSINESS FINANCIAL MANAGEMENT,52,,,,
Interrior,NETWORK SUPPORT SERVICES,24,,,,
Interrior,"TSSC IV TASK ORDER 7 ARCHIVES AND RECORD MANAGEMENT, TECHNICAL SUPPORT SERVICES CONTRACT FOR THE EARTH RESOURCES OBSERVATION AND SCIENCE CENTER (EROS), U.S. GEOLOGICAL SURVEY LOCATED IN SIOUX FALLS, SOUTH DAKOTA",211,,,,
Interrior,WASO-CRAD DIGITAL LIBRARY ACCESS;  MOD P00005 - EXERCISE OPTION 4,65,,,,
Interrior,INDE - ARMED&UNARMED GUARD SERVICES,35,,,,
Interrior,CACO HEATING OIL  THE PURPOSE OF THIS MODIFICATION IS TO:    1. CLOSEOUT AND DE-OBLIGATE FUNDS FROM THE FOLLOWING CONTRACT LINE ITEM NUMBERS:  A.   LINE 10 IN THE AMOUNT OF $119.78  B.   LINE 20 IN THE AMOUNT OF $17.80  FOR A TOTAL DEOBLIGAT,241,,,,
Interrior,DESIGN/BUILD OF WAYSIDE EXHIBITS - PATERSON GREAT FALLS NATIONAL PARK - MODIFICATION NUMBER P00008 - EXTEND TIME FOR COMPLETION,127,,,,
Interrior,COPIER MACHINE LEASE,20,,,,
Interrior,HEATING AND AIR CONDITIONING SYSTEM MAINTENANCE AND REPAIR SERVICES.,68,,,,
Interrior,VERNAL FO TRAVEL MANAGEMENT PLAN,32,,,,
Interrior,GENERATIVE IMMERSIVE SCENARIO TESTBED (GIST),44,,,,
Interrior,ULTRATHIN DIELECTRIC ELASTOMER FIBERS FOR ACTUATION,51,,,,
Interrior,US FISH AND WILDLIFE SERVICE - VESSEL AND SUPPORT SERVICES FOR SEAT OTTER RESEARCH WITH THE WESTERN ALEUTIAN ISLAND OF ALASKA,125,,,,
Interrior,MOD 2 - TO REPLACE DETERIORATED WEIR GATES,42,,,,
Interrior,TEMP SERVICES FOR WRIA DEVELOPMENT,34,,,,
Interrior,MONTROSE FIRE FACILITY,22,,,,
Interrior,RAINBOW GARDENS FENCE INSTALLATION,34,,,,
Interrior,NESTUCCA RIVER ROAD AOP CUVLERTS,32,,,,
Interrior,RFO ADMIN BUILDING JANITORIAL SERVICES,38,,,,
Interrior,PLACES MOBILE APPS MAINTENANCE - NPS,36,,,,
