awarding_agency_name,award_description
DEPARTMENT OF DEFENSE (DOD),"ENGINEERING, TECHNICAL AND PROGRAMMATIC SUPPORT SERVICES FOR JAMMER TECHNIQUE OPTIMIZATION (JATO)AND THE AIRBORNE ELECTRONIC ATTACK INTEGRATED PRODUCT TEAM (AEA IPT)AT NAWCWD POINT MUGU, CA."
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),"UNITED STATES PERSONAL SERVICES CONTRACT IN SUPPORT OF THE OFFICE OF TRANSITION INITIATIVES,  PROGRAM LEARNING AND INNOVATION DIVISION AND ITS OBJECTIVES."
DEPARTMENT OF HOMELAND SECURITY (DHS),IGF::OT::IGF MOBIUS DEVELOPMENT AND UPDATE SUPPORT
DEPARTMENT OF TRANSPORTATION (DOT),THIS TASK ORDER IS ISSUED TO PROVIDE ITS DEPLOYMENT EVALUATION PROGRAM TECHNICAL AND PROGRAM SUPPORT.
DEPARTMENT OF TRANSPORTATION (DOT),CURTISS SLE RECAP  CGS-CRT21-5001 A
DEPARTMENT OF JUSTICE (DOJ),PROFESSIONAL SERVICES
DEPARTMENT OF DEFENSE (DOD),STITCHES WARFIGHTER APPLICATIONS TEAM (SWAT) DEVOPS
SECURITIES AND EXCHANGE COMMISSION (SEC),COMPREHENSIVE IT CABLING AND AUDIO-VISUAL SOLUTION
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),"UNITED STATES PERSONAL SERVICES CONTRACT IN SUPPORT OF THE OFFICE OF TRANSITION INITIATIVES,  OPERATIONS MANAGEMENT DIVISION AND ITS OBJECTIVES."
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF SEAPORT ENHANCED
DEPARTMENT OF DEFENSE (DOD),(FY21 FC/ESL OMN) GUAM UWSH
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF LVM-BIO.0065-15; E-292-2007/0-PT-34; PASTAN; PATENT LEGAL SERVICE
DEPARTMENT OF DEFENSE (DOD),FY21 AIR FORCES RECRUITING SERVICES MOBILE TOUR OPERATIONS
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),EAPD-BIO.0074-18; E-214-2012/0-US-04; GELLER; PATENT LEGAL SERVICE; (REYERO)
DEPARTMENT OF DEFENSE (DOD),"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES"
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),LVM-BIO.0228-18; E-758-2013/1-US-02; WIESTNER; PATENT LEGAL SERVICE; (REYERO)
ENVIRONMENTAL PROTECTION AGENCY (EPA),"THIS IS A NEW TASK ORDER FOR GSA MISSION ORIENTED BUSINESS INTEGRATED SERVICES (MOBIS) CONTRACT GS-10F-0061N THAT FOLLOWS TASK ORDER EP-G16H-01018 WHICH WILL EXPIRE ON JULY 31, 2019."
DEPARTMENT OF COMMERCE (DOC),ENTERPRISE REPORTING SYSTEM SUPPORT SERVICES
DEPARTMENT OF DEFENSE (DOD),"RESEARCH-DRIVEN INTEGRATION, EVALUATION AND DEMONSTRATION FOR CHESS"
SMALL BUSINESS ADMINISTRATION (SBA),"ENHANCED ENTRY SCREENINGS AT HERNDON, VA"
DEPARTMENT OF TRANSPORTATION (DOT),NEW BPA CALL FOR SUPPORT FOR THE DEPARTMENTS DIGITAL TRANSFORMATION AND CHANGE MANAGEMENT INITIATIVE FOR GRAPHICS DESIGN SUPPORT SERVICES
DEPARTMENT OF THE TREASURY (TREAS),CARES ACT IMPLEMENTATION SUPPORT SERVICES
DEPARTMENT OF HOMELAND SECURITY (DHS),EMERGENCY MANAGEMENT SUPPORT SERVICES IN SUPPORT OF TEXAS FOR HURRICANE LAURA RESPONSE EFFORTS.
DEPARTMENT OF DEFENSE (DOD),ENGINEERING SERVICES
DEPARTMENT OF TRANSPORTATION (DOT),DENEBOLA FY21 FUEL A TSI-DEN21-1009A
DEPARTMENT OF AGRICULTURE (USDA),OBPA FOIA AND RECORDS MANAGEMENT CONTRACT SUPPORT
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF KS-BIO.0123-15; E-130-2011/0-CN-03; HO; PATENT LEGAL SERVICE
DEPARTMENT OF HOMELAND SECURITY (DHS),IGF::CL::IGF MULTI-MODAL BIOMETRIC EXAMINER SERVICES
DEPARTMENT OF TRANSPORTATION (DOT),THOR-50M MODIFICATIONS FOR RECLINED SEATING  COMPETITIVE TASK ORDER  HERE ARE THE CONTRACTS ON THE BIO IDIQ:  DTNH2215D00016: MEDICAL COLLEGE OF WISCONSIN DTNH2215D00017: UNIVERSITY OF MICHIGAN DTNH2215D00019: WAKE FOREST UNIVERSITY DTNH2215
DEPARTMENT OF HOMELAND SECURITY (DHS),"THE DEPARTMENT OF HOMELAND SECURITY (DHS), FEDERAL EMERGENCY MANAGEMENT AGENCY (FEMA), OFFICE OF THE CHIEF PROCUREMENT OFFICER (OCPO), FOR THE OFFICE OF THE CHIEF INFORMATION OFFICER (OCIO) OPERATIONS AND MAINTENANCE (O&M) PILLAR."
DEPARTMENT OF DEFENSE (DOD),"THIS PERFORMANCE-BASED TASK ORDER (TO), W15P7T20F0301, UNDER CONTRACT W15P7T-19-D-0014, ENTITLED, ""CROSS FUNCTIONAL TEAM (CFT) S-2 ON-SITE SUPPORT SERVICES"" IS IN SUPPORT OF ARMY FUTURES COMMAND (AFC)."
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),LARC IV-TECHNICAL&LOGISTICAL SUPPORT FOR THE NIH LABORATORY ANIMAL RESEARCH CONTRACTS
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),THE CONTRACTOR SHALL PROVIDE PATENT-LEGAL SERVICES DESCRIBED IN THE ATTACHED TORFQS. CLN 1-LVM-BIO.0576-18; E-148-2011-0-GR-26; MORGAN; PATENT LEGAL SERVICE; (BURKE) CLN 2-LVM-BIO.0577-18; E-148-2011-0-IE-27; MORGAN; PATENT LEGAL SERVICE; (BURKE) CLN 3-LVM-BIO.0578-18; E-148-2011-0-IT-28; MORGAN; PATENT LEGAL SERVICE; (BURKE) CLN 4-LVM-BIO.0579-18; E-148-2011-0-NL-29; MORGAN; PATENT LEGAL SERVICE; (BURKE) CLN 5-LVM-BIO.0580-18; E-148-2011-0-NO-30; MORGAN; PATENT LEGAL SERVICE; (BURKE) CLN 6-LVM-BIO.0581-18; E-148-2011-0-PL-31MORGAN; PATENT LEGAL SERVICE; (BURKE) CLN 7-LVM-BIO.0582-18; E-148-2011-0-PT-32; MORGAN; PATENT LEGAL SERVICE; (BURKE) CLN 8-LVM-BIO.0583-18; E-148-2011-0-SE-33; MORGAN; PATENT LEGAL SERVICE; (BURKE) CLN 9-LVM-BIO.0584-18; E-148-2011-0-SI-34; MORGAN; PATENT LEGAL SERVICE; (BURKE) CLN 10-LVM-BIO.0585-18; E-148-2011-0-SK-35; MORGAN; PATENT LEGAL SERVICE; (BURKE) CLN 11-LVM-BIO.0586-18; E-148-2011-0-TR-36; MORGAN; PATENT LEGAL SERVICE; (BURKE)
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF HOMELAND SECURITY (DHS),"THE CONTRACTOR SHALL PROVIDE TECHNICAL ASSISTANCE TO THE FEDERAL EMERGENCY MANAGEMENT AGENCY, MITIGATION (MT) DIVISION OR ANY OF ITS TEN REGIONAL COUNTERPARTS IN THE MANAGEMENT OF ITS HAZARD MITIGATION TECHNICAL ASSISTANCE PROGRAM (HMTAP), NATIONAL EARTHQUAKE TECHNICAL ASSISTANCE PROGRAM (NETAP), AND WIND AND WATER TECHNICAL ASSISTANCE PROGRAM (WAWTAP).  THE CONTRACTOR IS EXPECTED TO PROVIDE RESPONSE CAPABILITY FOR ALL TYPES OF PRE- AND POST-DISASTER MITIGATION OPPORTUNITIES, RESULTING FROM RIVERINE AND COASTAL FLOODING, HURRICANE, FIRE, EARTHQUAKE, TYPHOON, TSUNAMI, ICE STORM, TORNADO AND MAN-MADE DISASTERS."
DEPARTMENT OF DEFENSE (DOD),SOCS SATCOM LABOR
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::OT::IGF IMPLEMENTATION AND OPERATIONAL SUPPORT FOR THE COMPREHENSIVE PRIMARY CARE PLUS (OR CPC+) MODEL.
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),TECH SUPPORT FOR EPIDEMIOLOGIC AND EXPOSURE ASSESSMENT STUDIES FOR NIOSH
DEPARTMENT OF ENERGY (DOE),TAS::89 0243::TAS
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF DAI COMPLIANCE SUPPORT SERVICES - CONTRACT AWARD
DEPARTMENT OF TRANSPORTATION (DOT),IGF::OT::IGF  WAKE TURBULENCE
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF DEFENSE (DOD),NCO SPECIAL ASSIGNMENT BATTERY: TRADOC ADMINISTRATION AND CAT NSAB DEVELOPMENT
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF LVM-CHM.0025-16; E-314-2013/0-CN-02; CHEN; PATENT LEGAL SERVICE; (SHMILOVICH)
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF  MANAGEMENT SUPPORT SERVICES
NUCLEAR REGULATORY COMMISSION (NRC),"IGF::OT::IGF ""MICROSOFT SHAREPOINT SUPPORT"""
DEPARTMENT OF DEFENSE (DOD),SEAPORT-ENHANCED
DEPARTMENT OF DEFENSE (DOD),ATC&LS OPERATIONS ONBOARD SHIP AND SHORE SUPPORT SERVICES
DEPARTMENT OF DEFENSE (DOD),TECHNOLOGY FOR SUSTAINED SUPERSONIC COMBUSTION (TSSC)
DEPARTMENT OF DEFENSE (DOD),ER20-5182
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF CREDENTIALING SUPPORT SERVICES
SMALL BUSINESS ADMINISTRATION (SBA),ENHANCED ENTRY SCREENING SERVICES AT THE PROCESSING AND DISBURSEMENT CENTER IN FT.WORTH DUE TO COVID-19.
ENVIRONMENTAL PROTECTION AGENCY (EPA),"CONTAMINANT OCCURRENCE DATA QA, DATA ANALYSIS, AND OTHER SUPPORT FOR SIX-YEAR REVIEW 4."
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),LVM-CHM.0072-18; E-183-2009/0-EP-07; REILLY; PATENT LEGAL SERVICE; (GRIFFIN)
DEPARTMENT OF DEFENSE (DOD),"NUWCDIVNPT CODE 34 PROJECT MANAGEMENT, FINANCIAL MANAGEMENT, PREPARATION OF PRESENTATION MATERIALS, INFORMATION TECHNOLOGY AND INFORMATION ASSURANCE SUPPORT SERVICES."
DEPARTMENT OF DEFENSE (DOD),HOLDING CLIN IN SUPPORT OF CLIN 0005
DEPARTMENT OF DEFENSE (DOD),PROTECTED FORWARD COMMUNICATIONS (PFC)
DEPARTMENT OF DEFENSE (DOD),"NEXT-GENERATION PHOTONIC, OPTOELECTRONIC, AND QUANTUM MATERIALS AND PROCESSES FOR ADVANCED ISR TECHNOLOGIES"
ENVIRONMENTAL PROTECTION AGENCY (EPA),"UNDER THE TERMS OF THIS CONTRACT, THE CONTRACTOR WILL PROVIDE PRINTING SERVICES SUPPORT FOR EPA PRINTING RESOURCES.  THE SUPPORT PROVIDED IS REQUIRED TO MEET THE PRINTING NEEDS OF EPA'S USERS LOCATED WITHIN EPA OFFICE SPACE. THE CONTRACTOR WILL ALSO SUPPORT EPA'S REFRESH OF ITS PRINTING DEVICES. AT THE START OF THIS CONTRACT SERVICE WILL INCLUDE USERS AT EPA'S HEADQUARTERS IN WASHINGTON, D.C. AND THROUGHOUT THE COUNTRY AND WILL COVER APPROXIMATELY 1,500 PRINTING DEVICES.  IGF::OT::IGF"
DEPARTMENT OF DEFENSE (DOD),FUNDING FOR 96TFW DELIVERY ORDER
DEPARTMENT OF THE INTERIOR (DOI),OHMSETT TANK REFURB: TO171-067 AUX BRIDG
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF KS-BIO.0156-16; E-195-2013/0-EP-06; HENIENE; PATENT LEGAL SERVICE (KIRBY)
DEPARTMENT OF LABOR (DOL),ORDER ISSUED TO PROVIDE APPRENTICESHIP EXPANSION AND MODERNIZATION FUND (AEMF) SERVICES (INNOVATION CATEGORY:  I THROUGH V) FOR THE DEPARTMENT OF LABOR (DOL) EMPLOYMENT AND TRAINING ADMINISTRATION (ETA) OFFICE OF APPRENTICESHIP (OA).
DEPARTMENT OF JUSTICE (DOJ),OCDETF PROGRAM SUPPORT SERVICES (IOC-2 SUPPORT)
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),THE PURPOSE OF THIS TASK ORDER IS THE DEVELOPMENT AND DELIVERY OF A QUALITY ASSURANCE/QUALITY CONTROL (QA/QC) PLAN AND PARTICIPATION IN THE TASK ORDER INITIATION MEETING.
DEPARTMENT OF THE INTERIOR (DOI),CONTRACTOR SUPPORT SERVICES FOR PERSONNEL PROCESSING
DEPARTMENT OF AGRICULTURE (USDA),EAST AFRICA REGIONAL RANGELAND ASSESSMENT CONSULTANT  SERVICES FOR FOREST SERVICE IP
DEPARTMENT OF DEFENSE (DOD),SUPPLIES AND SERVICES IN SUPPORT OF UNDERSEA WEAPONS AND DEFENSIVE FAMILY OF SYSTEMS
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),MEDICARE AMBULANCE INDUSTRY DATA REPORTING AND COLLECTION SUPPORT
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),MASTER DATA MANAGEMENT (MDM)
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),AWARD
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF GLOBAL UPSTREAM DATA FUSION FOR ENHANCED BATTLESPACE AWARENESS
DEPARTMENT OF ENERGY (DOE),"THE PURPOSE OF THIS BPA CALL IS TO PROVIDE TECHNICAL, ANALYTICAL, AND MANAGEMENT SUPPORT SERVICES  WITHIN THE OFFICE OF CYBERSECURITY, ENERGY SECURITY AND EMERGENCY RESPONSE (CESER), ISER AND CEDS PROGRAMS.  THIS BPA CALL IS BEING ISSUED IN ACCORDANC"
DEPARTMENT OF JUSTICE (DOJ),IGF::CT::IGF  FINANCIAL PROGRAM SUPPORT
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"IGF::OT::IGF 1300022I UNIVERSITY OF MARYLAND; VTEU; TO 13-0013.D1.0025--22; BIOD CAN 8470038; $1,146,421"
DEPARTMENT OF HOMELAND SECURITY (DHS),IGF::OT::IGF SETI BRIDGE
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),THE CONTRACTOR SHALL PROVIDE PATENT-LEGAL SERVICES DESCRIBED IN THE ATTACHED TORFQS. CLN 1-LVM-CHM.0201-18; E-015-2011-0-AU-07; NECKERS; PATENT LEGAL SERVICE; (CHANG) CLN 2-LVM-CHM.0226-18; E-015-2011-0-CA-04; NECKERS; PATENT LEGAL SERVICE; (CHANG) CLN 3-LVM-CHM.0227-18; E-015-2011-0-CA-04; NECKERS; PATENT LEGAL SERVICE; (CHANG) CLN 4-LVM-CHM.0232-18; E-015-2011-0-US-12; NECKERS; PATENT LEGAL SERVICE; (CHANG)
ENVIRONMENTAL PROTECTION AGENCY (EPA),INITIATION OF NEW SITE SPECIFIC TASK ORDER (ASSESSMENT/INSPECTION ACTIVITIES) FOR RICH LADDER UNDER START V CONTRACT 68HE0519D0006.
DEPARTMENT OF DEFENSE (DOD),ENGINEERING AND TECHNICAL SERVICES REQUIRED FOR RESTORING HM&E SYSTEMS ON CG CLASS SHIPS IN SUPPORT OF NSWCPD SHIPS MODERNIZATION BRANCH
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),CCL-CHM.0048-19; E-014-2019-0-US-01; HORKAY; PATENT LEGAL SERVICE; (LUBET)
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF SCAMP INTEGRATED COMPUTATIONAL MATERIALS SCIENCE AND ENGINEERING AND ADDITIVE MANUFACTURING (AM) RESEARCH
DEPARTMENT OF STATE (DOS),DGHR HR INNOVATION_PROCESS IMPROVEMENT CALL
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),THE CONTRACTOR SHALL PROVIDE PATENT-LEGAL SERVICES DESCRIBED IN THE ATTACHED TORFQS. CLN 1-KS-BIO.0671-18; E-102-2016-0-EP-03; LUSSO; PATENT LEGAL SERVICE; (KORNAK) CLN 2-KS-BIO.0672-18; E-102-2016-0-US-04; LUSSO; PATENT LEGAL SERVICE; (KORNAK)
DEPARTMENT OF DEFENSE (DOD),GEORGIA LAND BORDER PROJECT
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::OT::IGF - RESEARCH ON THE EFFICACY AND FEASIBILITY OF ESSENTIALS FOR PARENTING TODDLERS AND PRESCHOOLERS
DEPARTMENT OF TRANSPORTATION (DOT),"STANDARD TERMINAL AUTOMATION REPLACEMENT SYSTEM (STARS) SURVEY, SITE PREPARATION, AND FINAL RELOCATION   AVIANO AIR BASE, ITALY"
DEPARTMENT OF LABOR (DOL),"OUTREACH, ADMISSIONS AND CAREER TRAINSITION SERVICES FOR THE STATE OF OHIO IN SUPPORT OF THE JOB CORPS PROGRAM"
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION AND INTERPRETATION SERVICES
ENVIRONMENTAL PROTECTION AGENCY (EPA),EPS40902- NEW RD TASK ORDER FOR SOUTH PATRICK SHORES SITE ASSESSMENT - THIS IS REQUEST FOR A NEW TASK ORDER UNDER THE BLACK&VEATCH CONTRACT.  A SCOPING MEETING/CALL IS TO BE SCHEDULED AFTER CONTRACT MOD INITIATING THE TASK ORDER IS ISSUED.
DEPARTMENT OF DEFENSE (DOD),LABOR SUPPORT
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF
DEPARTMENT OF DEFENSE (DOD),MARINE CORPS SCIENCE&TECHNOLOGY INNOVATION AND RAPID PROTOTYPING FOR THE MARINE CORPS WARFIGHTING LABORATORY / FUTURES DIRECTORATE
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),TASK AREA B2 VISIT 3 BASIC EXAMINATION OF PARTICIPANTS.
DEPARTMENT OF DEFENSE (DOD),"IGF::CT::IGF CT 16-1344 EVALUATION OF INTEGRATED TECHNOLOGY SOLUTIONS IN A CONTESTED, DEGRADED, AND OPERATIONALLY-LIMITED SPACE ENVIRONMENT"
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF KS-BIO.0023-17; E-155-2016/0-US-02; REMALEY; PATENT LEGAL SERVICE (REYERO)
DEPARTMENT OF TRANSPORTATION (DOT),NEW BPA CALL FOR CUSTOMER AND USER SUPPORT AND DEVELOPMENT FOR EDMS
DEPARTMENT OF DEFENSE (DOD),NAVWAR BFM SUPPORT SERVICES
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),"THE PURPOSE OF THIS TASK IS TO PROVIDE TECHNICAL EXPERTISE AND ADMINISTRATIVE SUPPORT TO SOMA AT NASA/LARC, TO ASSIST THE SOMA IN PREPARATION FOR THE EVALUATION OF PROPOSALS SOLICITED THROUGH PROGRAM ELEMENT APPENDIX (PEA) H6 OF THE 2008 STAND ALONE MISSIONS OF OPPORTUNITY NOTICE (SALMON) ANNOUNCEMENT OF OPPORTUNITY (AO). THIS WILL INCLUDE PARTICIPATION IN SCHEDULED WEEKLY TELECONFERENCES, A TMC PLENARY MEETING, AND SUPPORT FOR THE SCIENCE EVALUATION PANEL. THE CONTRACTOR WILL PROVIDE A FORM C, A HALL MATRIX AND A COST EVALUATION SUMMARY FOR EVERY PROPOSAL.   THE CONTRACTOR WILL PERFORM TWO INDEPENDENT COST ESTIMATES FOR EACH PROPOSAL."
DEPARTMENT OF DEFENSE (DOD),STRATEGIC EVALUATION SERVICES PME LABOR
NUCLEAR REGULATORY COMMISSION (NRC),IV&V SUPPORT SERVICES FOR ALL NMSS MISSION INFORMATION TECHNOLOGY (IT) WHEREIN IV&V SUPPORT SERVICES ARE NECESSARY.
DEPARTMENT OF COMMERCE (DOC),MARINE TRANSPORTATION SYSTEM (MTS) CSF R&D SUPPORT SERVICES
DEPARTMENT OF AGRICULTURE (USDA),CAFTA-DR INSTRUCTOR  SERVICES FOR FOREST SERVICE IP
DEPARTMENT OF JUSTICE (DOJ),CALL AGAINST BPA
DEPARTMENT OF AGRICULTURE (USDA),"TWO ADMINISTRATIVE ASSISTANT, HONOLULU COUNTY&TWO CUSTOMER SERVICE REPRESENTATIVE II, HAWAII COUNTY."
DEPARTMENT OF STATE (DOS),PROTECTIVE TECHNOLOGY SERVICES  IGF::CT::IGF
DEPARTMENT OF THE TREASURY (TREAS),ENHANCEMENTS AND SERVICE IMPROVEMENTS
DEPARTMENT OF JUSTICE (DOJ),INTELLIGENCE ANALYSIS SUPPORT
DEPARTMENT OF TRANSPORTATION (DOT),FCS TAG 0146 - AFG API
DEPARTMENT OF COMMERCE (DOC),GRAPHICS SUPPORT SERVICES
DEPARTMENT OF DEFENSE (DOD),SUBSAFE AND LEVEL I ENGINEERING AND TECHNICAL SERVICES
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF DEFENSE (DOD),CUAS TASK ORDER
DEPARTMENT OF COMMERCE (DOC),IGF::OT::IGF ENHANCED PIV TRACKING II
DEPARTMENT OF DEFENSE (DOD),PUBLIC AFFAIRS SUPPORT SERVICES FOR ONGOING INITIATIVES IN THE OFFICE OF CORPORATE COMMUNICATIONS
DEPARTMENT OF DEFENSE (DOD),AIR FREIGHT TRANS SPT 460F (PROC)
DEPARTMENT OF STATE (DOS),DEFINITIZE UGANDA OY1
DEPARTMENT OF HOMELAND SECURITY (DHS),PROVIDE ENGINEERING SUPPORT SERVICES IN SUPPORT OF HAZARD MITIGATION UNDER HAZARD MITIGATION TECHNICAL ASSISTANCE PROGRAM
NATIONAL GALLERY OF ART (SI),SECURITY OFFICER SERVICES
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF DEFENSE (DOD),"CPS MADISON ROLL OVER-REPLACES TO 00A1 WITH TO 0001, DUE TO TECHNICAL DIFFICULTIES WITH THE PD2 PROGRAM"
DEPARTMENT OF HOMELAND SECURITY (DHS),ACE PORTAL SUPPORT SERVICES TASK ORDER UNDER CBP'S EBMSS BPA
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),"IGF::OT::IGF - OTHER FUNCTIONS. TO IMPLEMENT THE PROMOTING TANZANIA S ENVIRONMENT, CONSERVATION AND TOURISM (PROTECT)PROJECT AS APPROVED UNDER THE APPROVED NRM PROJECT APPRAISAL DOCUMENT OF JUNE 2014."
DEPARTMENT OF THE TREASURY (TREAS),"IGF::CL::IGF FOR CLOSELY ASSOCIATED  DECKER, DEBORAH SUE; NEW CONTRACT"
DEPARTMENT OF HOMELAND SECURITY (DHS),PROTECTIVE SECURITY OFFICER (PSO) SERVICES FOR THE STATE OF NEW MEXICO
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),PROJECT RTOR BIO-AMT-1021: DEVELOPMENT OF ANIMAL MODELS FOR EVALUATION OF MEDICAL COUNTERMEASURES FOR SARS-COV-2
DEPARTMENT OF DEFENSE (DOD),SYNTHETIC VISION AVIONICS BACKBONE PROGRAM.
ENVIRONMENTAL PROTECTION AGENCY (EPA),IGF::OT::IGF INFORMATION TECHNOLOGY SOLUTIONS - BUSINESS INFORMATION STRATEGIC SUPPORT (ITS-BISS) III REGION 3 HAZARDOUS SITE CLEANUP DIVISION INFORMATION MANAGEMENT DATA QUALITY AND OIL PROGRAM SUPPORT
ENVIRONMENTAL PROTECTION AGENCY (EPA),BUY-IN TO REGION 6 START CONTRACT (EP-S5-17-02) FOR THE DEPUE/NEW JERSEY ZINC/MOBIL CHEMICAL CORP SUPERFUND SITE IN REGION 5.
DEPARTMENT OF DEFENSE (DOD),"IGF::OT::IGF AWARD OF 15-1076 AWARD OF 15-1076 ""TECHNICAL ANALYSIS AND ASSESSMENT OF THE SURVIVABILITY, VULNERABILITIES AND LETHALITY FOR THE AIR FORCE GLOBAL STRIKE COMMAND (AFGSC) MISSIONS, UNITS AND WEAPON SYSTEMS"""
GENERAL SERVICES ADMINISTRATION (GSA),"AWARD MADE TO CACI, INC.-FEDERAL FOR JIDA FS/DE TASK ORDER, IN THE AMOUNT NOT TO EXCEED $1,773,158,264.00. IGF::CL::IGF"
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"BPA CALL TO OBTAIN THE SERVICES OF A QUALITY ASSURANCE SPECIALIST III, PROJECT MANAGER III AND PROGRAM MANAGER III"
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),IGF::CL::IGF
DEPARTMENT OF DEFENSE (DOD),"DEVELOPMENT, TECHNICAL, MANAGEMENT, AND ENGINEERING SERVICES FOR INTELLIGENCE, SURVEILLANCE, AND RECONNAISSANCE (ISR) SYSTEMS & INFORMATION OPERATIONS (IO) FROM SEABED TO SPACE (S2ISR)"
DEPARTMENT OF HOMELAND SECURITY (DHS),HMTAP
DEPARTMENT OF DEFENSE (DOD),"IGF::OT::IGF PLANNING, PROGRAMMING, AND BUDGETING BUSINESS OPERATING SYSTEM (PPB BOS) SUPPORT SERVICES CONTRACT."
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF EAPD-BIO.0142-17; E-214-2012/0-EP-05; GELLER; PATENT LEGAL SERVICE (REYERO)
DEPARTMENT OF JUSTICE (DOJ),CSO SERVICES FOR THE 4TH CIRCUIT.  IGF::OT::IGF
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF LVM-CHM.0109-15; E-203-2000/0-US-13; BOYD; PATENT LEGAL SERVICE; (CHATTERJEE)
DEPARTMENT OF DEFENSE (DOD),"IGF::OT::IGF NAVAL SURFACE WARFARE CENTER PHILADELPHIA DIVISION (NSWCPLD) REQUIRES CONTRACTOR ENGINEERING, TECHNICAL AND PROJECT MANAGEMENT SUPPORT FOR EMERGENT WORK IN THE AREAS OF DESIGN, MODIFICATION, AND TESTING OF; ELECTRIC POWER GENERATION/DISTRIBUTION, MACHINERY CONTROL, FLUID SYSTEMS AND MECHANICAL SYSTEMS IN EXECUTION OF NSWCPLD SURFACE COMBATANT, EXPEDITIONARY AND AMPHIBIOUS CLASS SHIP PROGRAMS; USCG AND INTERNATIONAL PROGRAM (FOREIGN NAVAL PROGRAM INITIATIVES)."
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF LVM-BIO.0162-15; E-090-2000/1-CA-02; WANG; PATENT LEGAL SERVCE; (WANG)
DEPARTMENT OF DEFENSE (DOD),DIRECT LABOR
ENVIRONMENTAL PROTECTION AGENCY (EPA),METHOD 31 SUPPORT
DEPARTMENT OF HOMELAND SECURITY (DHS),PHYSICIAN FOR FEMA HEADQUARTERS
DEPARTMENT OF JUSTICE (DOJ),PROFESSIONAL SERVICES BPA CALL
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF SEAPORT ENHANCED
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),NEW PARTNERSHIP INITIATIVE (NPI) INCUBATOR
DEPARTMENT OF HOMELAND SECURITY (DHS),IGF::OT::IGF FRONT OFFICE SUPPORT SERVICES FOR THE CAPABILITY DEVELOPMENT SUPPORT GROUP
